  20 0.074578 0.0001471 4.8e-05
  40 0.5851 0.00017405 0.000427
  60 2.1237 0.00024891 0.001552
  80 4.9583 0.00058484 0.002869
 100 9.3013 0.00098801 0.005271
 120 16.043 0.0015199 0.009122
 140 25.583 0.002929 0.016382
 160 38.055 0.003875 0.024514
 180 55.079 0.005995 0.034078
 200 145.13 0.006784 0.053062
